time	TC4_1	TC4_2	TC4_3	TC4_4
(sec)	(degC)	(degC)	(degC)	(degC)

0.00000	42	27	24	29
0.08192	42	27	24	29
0.16384	42	27	24	29
0.24576	42	27	24	29
0.32768	42	27	24	29
0.40960	42	27	24	29
0.49152	42	27	24	29
0.57344	42	27	24	29
0.65536	42	27	24	29
0.73728	42	27	24	29
0.81920	42	27	24	29
0.90112	42	27	24	29
0.98304	42	27	24	29
1.06496	42	27	24	29
1.14688	42	27	24	29
1.22880	42	27	24	29
1.31072	42	27	24	29
1.39264	42	27	24	29
1.47456	42	27	24	29
1.55648	42	27	24	29
1.63840	42	27	24	29
1.72032	42	27	24	29
1.80224	42	27	24	29
1.88416	42	27	24	29
1.96608	42	27	24	29
2.04800	42	27	24	29
2.12992	42	27	24	29
2.21184	42	27	24	29
2.29376	42	27	24	29
2.37568	42	27	24	29
2.45760	42	27	24	29
2.53952	42	27	24	29
2.62144	42	27	24	29
2.70336	42	27	24	29
2.78528	42	27	24	29
2.86720	42	27	24	29
2.94912	42	27	24	29
3.03104	42	27	24	29
3.11296	42	27	24	29
3.19488	42	27	24	29
3.27680	42	27	24	29
3.35872	42	27	24	29
3.44064	42	27	24	29
3.52256	42	27	24	29
3.60448	42	27	24	29
3.68640	42	27	24	29
3.76832	42	27	24	29
3.85024	42	27	24	29
3.93216	42	27	24	29
4.01408	42	27	24	29
4.09600	42	27	24	29
4.17792	42	27	24	29
4.25984	42	27	24	29
4.34176	42	27	24	29
4.42368	42	27	24	29
4.50560	42	27	24	29
4.58752	42	27	24	29
4.66944	42	27	24	29
4.75136	42	27	24	29
4.83328	42	27	24	29
4.91520	42	27	24	29
4.99712	42	27	24	29
5.07904	42	27	24	29
5.16096	42	27	24	29
5.24288	42	27	24	29
5.32480	42	27	24	29
5.40672	42	27	24	29
5.48864	42	27	24	29
5.57056	42	27	24	29
5.65248	42	27	24	29
5.73440	42	27	24	29
5.81632	42	27	24	29
5.89824	42	27	24	29
5.98016	42	27	24	29
6.06208	42	27	24	29
6.14400	42	27	24	29
6.22592	42	27	24	29
6.30784	42	27	24	29
6.38976	42	27	24	29
6.47168	42	27	24	29
6.55360	42	27	24	29
6.63552	42	27	24	29
6.71744	42	27	24	29
6.79936	42	27	24	29
6.88128	42	27	24	29
6.96320	42	27	24	29
7.04512	42	27	24	29
7.12704	42	27	24	29
7.20896	42	27	24	29
7.29088	42	27	24	29
7.37280	42	27	24	29
7.45472	42	27	24	29
7.53664	42	27	24	29
7.61856	42	27	24	29
7.70048	42	27	24	29
7.78240	42	27	24	29
7.86432	42	27	24	29
7.94624	42	27	24	29
8.02816	42	27	24	29
8.11008	42	27	24	29
8.19200	42	27	24	29
8.27392	42	27	24	29
8.35584	42	27	24	29
8.43776	42	27	24	29
8.51968	42	27	24	29
8.60160	42	27	24	29
8.68352	42	27	24	29
8.76544	42	27	24	29
8.84736	42	27	24	29
8.92928	42	27	24	29
9.01120	42	27	24	29
9.09312	42	27	24	29
9.17504	42	27	24	29
9.25696	42	27	24	29
9.33888	42	27	24	29
9.42080	42	27	24	29
9.50272	42	27	24	29
9.58464	42	27	24	29
9.66656	42	27	24	29
9.74848	42	27	24	29
9.83040	42	27	24	29
9.91232	42	27	24	29
9.99424	42	27	24	29
10.07616	42	27	24	29
10.15808	42	27	24	29
10.24000	42	27	24	29
10.32192	42	27	24	29
10.40384	42	27	24	29
10.48576	42	27	24	29
10.56768	42	27	24	29
10.64960	42	27	24	29
10.73152	42	27	24	29
10.81344	42	27	24	29
10.89536	42	27	24	29
10.97728	42	27	24	29
11.05920	42	27	24	29
11.14112	42	27	24	29
11.22304	42	27	24	29
11.30496	42	27	24	29
11.38688	42	27	24	29
11.46880	42	27	24	29
11.55072	42	27	24	29
11.63264	42	27	24	29
11.71456	42	27	24	29
11.79648	42	27	24	29
11.87840	42	27	24	29
11.96032	42	27	24	29
12.04224	42	27	24	29
12.12416	42	27	24	29
12.20608	42	27	24	29
12.28800	42	27	24	29
12.36992	42	27	24	29
12.45184	42	27	24	29
12.53376	42	27	24	29
12.61568	42	27	24	29
12.69760	42	27	24	29
12.77952	42	27	24	29
12.86144	42	27	24	29
12.94336	42	27	24	29
13.02528	42	27	24	29
13.10720	42	27	24	29
13.18912	42	27	24	29
13.27104	42	27	24	29
13.35296	42	27	24	29
13.43488	42	27	24	29
13.51680	42	27	24	29
13.59872	42	27	24	29
13.68064	42	27	24	29
13.76256	42	27	24	29
13.84448	42	27	24	29
13.92640	42	27	24	29
14.00832	42	27	24	29
14.09024	42	27	24	29
14.17216	42	27	24	29
14.25408	42	27	24	29
14.33600	42	27	24	29
14.41792	42	27	24	29
14.49984	42	27	24	29
14.58176	42	27	24	29
14.66368	42	27	24	29
14.74560	42	27	24	29
14.82752	42	27	24	29
14.90944	42	27	24	29
14.99136	42	27	24	29
15.07328	42	27	24	29
15.15520	42	27	24	29
15.23712	42	27	24	29
15.31904	42	27	24	29
15.40096	42	27	24	29
15.48288	42	27	24	29
15.56480	42	27	24	29
15.64672	42	27	24	29
15.72864	42	27	24	29
15.81056	42	27	24	29
15.89248	42	27	24	29
15.97440	42	27	24	29
16.05632	42	27	24	29
16.13824	42	27	24	29
16.22016	42	27	24	29
16.30208	42	27	24	29
16.38400	42	27	24	29
16.46592	42	27	24	29
16.54784	42	27	24	29
16.62976	42	27	24	29
16.71168	42	27	24	29
16.79360	42	27	24	29
16.87552	42	27	24	29
16.95744	42	27	24	29
17.03936	42	27	24	29
17.12128	42	27	24	29
17.20320	42	27	24	29
17.28512	42	27	24	29
17.36704	42	27	24	29
17.44896	42	27	24	29
17.53088	42	27	24	29
17.61280	42	27	24	29
17.69472	42	27	24	29
17.77664	42	27	24	29
17.85856	42	27	24	29
17.94048	42	27	24	29
18.02240	42	27	24	29
18.10432	42	27	24	29
18.18624	42	27	24	29
18.26816	42	27	24	29
18.35008	42	27	24	29
18.43200	42	27	24	29
18.51392	42	27	24	29
