5,4412,99
b,4553,99
c,4691,0
d,4832,0
f,4973,39
14,5113,0.25
5,5255,99
b,5396,99
c,5537,0
d,5678,0
f,5819,39
14,5960,0.25
5,6102,99
b,6243,99
c,6384,0
d,6525,0
f,6666,39
14,6807,0.25
5,6949,99
b,7090,99
c,7231,0
d,7372,0
f,7513,39
14,7654,0.25
5,7796,99
b,7937,99
c,8078,0
d,8219,0
f,8360,39
14,8501,0.25
5,8643,99
b,8782,99
c,8923,0
d,9064,0
f,9205,39
14,9346,0.30
5,9488,99
b,9629,99
c,9771,0
d,9912,0
f,10053,39
14,10194,0.30
5,10336,99
b,10477,99
c,10617,0
d,10758,0
f,10899,39
14,11040,0.30
5,11182,99
b,11323,99
c,11464,0
d,11606,0
f,11747,39
14,11888,0.30
5,12030,99
b,12167,99
c,12308,0
d,12449,0
f,12590,39
14,12731,0.30
5,12873,99
b,13011,99
c,13152,0
d,13293,0
f,13433,39
14,13574,0.30
5,13716,99
b,13857,99
c,13998,0
d,14139,0
f,14280,39
14,14422,0.35
5,14564,99
b,14705,99
c,14846,0
d,14983,0
f,15124,39
14,15265,0.35
5,15407,100
b,15548,99
c,15689,0
d,15827,0
f,15968,39
14,16109,0.35
5,16249,100
b,16390,99
c,16531,0
d,16672,0
f,16813,39
14,16954,0.35
5,17096,100
b,17238,99
c,17379,0
d,17520,0
f,17661,39
14,17802,0.40
5,17944,100
b,18083,99
c,18224,0
d,18365,0
f,18505,39
14,18643,0.40
5,18785,100
b,18926,99
c,19067,0
d,19208,0
f,19349,39
14,19491,0.40
5,19629,100
b,19770,99
c,19911,0
d,20052,0
f,20189,39
14,20330,0.40
5,20473,100
b,20614,99
c,20755,0
d,20896,0
f,21037,39
14,21178,0.45
5,21320,100
b,21462,99
c,21603,0
d,21744,0
f,21885,39
14,22026,0.45
5,22168,100
b,22307,99
c,22448,0
d,22589,0
f,22729,39
14,22867,0.45
5,23009,100
b,23150,99
c,23291,0
d,23432,0
f,23573,39
14,23715,0.50
5,23853,100
b,23994,99
c,24135,0
d,24276,0
f,24413,39
14,24554,0.50
5,24697,100
b,24838,99
c,24979,0
d,25120,0
f,25261,39
14,25402,0.55
5,25544,100
b,25686,99
c,25827,0
d,25968,0
f,26109,39
14,26250,0.55
5,26392,100
b,26531,95
c,26672,1009
d,26813,0
f,26953,39
14,27091,0.960
5,27233,100
b,27374,36
c,27515,1955
d,27656,0
f,27797,39
14,27939,0.940
5,28077,100
b,28218,29
c,28359,1349
d,28500,0
f,28637,39
14,28778,0.920
5,28921,100
b,29062,38
c,29203,801
d,29344,0
f,29485,40
14,29626,0.900
5,29768,100
b,29910,45
c,30051,797
d,30192,0
f,30333,40
14,30474,0.900
5,30616,100
b,30755,44
c,30896,786
d,31037,0
f,31177,40
14,31315,0.865
5,31457,100
b,31598,44
c,31739,782
d,31880,0
f,32021,41
14,32163,0.865
5,32301,100
b,32442,43
c,32583,724
d,32724,0
f,32861,41
14,33002,0.860
5,33145,100
b,33286,54
c,33427,740
d,33568,0
f,33709,41
14,33850,0.885
5,33992,99
b,34134,53
c,34275,746
d,34416,0
f,34557,41
14,34698,0.870
5,34840,99
b,34979,53
c,35120,745
d,35261,0
f,35401,41
14,35539,0.875
5,35681,99
b,35822,52
c,35963,756
d,36104,0
f,36245,41
14,36387,0.865
5,36525,99
b,36666,52
c,36807,758
d,36948,0
f,37085,41
14,37226,0.860
5,37369,99
b,37510,52
c,37651,767
d,37792,0
f,37933,42
14,38074,0.860
5,38216,99
b,38358,52
c,38499,768
d,38640,0
f,38781,42
14,38922,0.830
5,39064,99
b,39203,52
c,39344,777
d,39485,0
f,39625,42
14,39763,0.830
5,39905,99
b,40046,52
c,40187,768
d,40328,0
f,40469,42
14,40611,0.800
5,40749,99
b,40890,52
c,41031,770
d,41172,0
f,41309,42
14,41450,0.820
5,41593,99
b,41734,52
c,41875,766
d,42016,0
f,42157,42
14,42298,0.795
5,42440,99
b,42582,52
c,42723,763
d,42864,0
f,43005,42
14,43146,0.815
5,43288,99
b,43427,52
c,43568,763
d,43709,0
f,43849,42
14,43987,0.830
5,44129,99
b,44270,52
c,44411,755
d,44552,0
f,44693,42
14,44835,0.795
5,44973,99
b,45114,52
c,45255,761
d,45396,0
f,45533,42
14,45674,0.780
5,45817,99
b,45958,53
c,46099,859
d,46240,0
f,46381,42
14,46522,0.845
5,46664,99
b,46806,52
c,46947,804
d,47088,0
f,47229,42
14,47370,0.115
5,47512,99
b,47651,67
c,47792,1645
d,47933,0
f,48073,42
14,48211,0.890
5,48353,99
b,48494,60
c,48635,1521
d,48776,2
f,48917,42
14,49059,0.775
5,49197,99
b,49338,88
c,49479,1602
d,49620,6
f,49757,43
14,49898,0.805
5,50041,99
b,50182,89
c,50323,1579
d,50464,12
f,50605,43
14,50746,0.760
5,50888,99
b,51030,92
c,51171,2040
d,51312,18
f,51453,43
14,51594,0.825
5,51736,99
b,51875,57
c,52016,2330
d,52157,20
f,52297,44
14,52435,0.25
5,52577,99
b,52718,28
c,52859,1434
d,53000,19
f,53141,43
14,53283,0.20
5,53421,98
b,53562,32
c,53703,1204
d,53844,17
f,53981,43
5,54263,98
b,54404,31
c,54545,1016
d,54686,14
f,54824,43
14,54965,0.65
5,55107,98
b,55246,47
c,55387,897
d,55528,13
f,55669,43
14,55810,0.655
5,55952,98
b,56093,89
c,56235,1026
d,56376,15
f,56517,43
14,56658,0.840
5,56800,97
b,56941,94
c,57081,1177
d,57222,17
f,57363,43
14,57504,0.85
5,57646,97
b,57787,112
c,57928,1476
d,58070,22
f,58211,43
14,58352,0.60
5,58494,97
b,58631,120
c,58772,1884
d,58913,28
f,59054,43
14,59195,0.55
5,59337,97
b,59475,132
c,59616,2378
d,59757,35
f,59897,43
14,60038,0.755
5,60180,97
b,60321,136
c,60462,2923
d,60603,43
f,60744,42
14,60886,0.915
5,61028,97
b,61169,27
c,61310,2970
d,61447,43
f,61588,42
14,61729,0.5
5,61871,97
b,62012,19
c,62153,2854
d,62291,41
f,62432,42
14,62573,0.0
5,62713,97
b,62854,19
c,62995,2551
d,63136,36
f,63277,42
14,63418,0.0
5,63560,96
b,63702,21
c,63843,2153
d,63984,30
f,64125,42
14,64266,0.0
5,64408,96
b,64547,18
c,64688,1678
d,64829,23
f,64969,42
14,65107,0.550
5,65249,96
b,65390,27
c,65531,1166
d,65672,15
f,65813,41
14,65955,0.825
5,66093,96
b,66234,36
c,66375,732
d,66516,8
f,66653,41
14,66794,0.60
5,66937,96
b,67078,44
c,67219,769
d,67360,1
f,67501,41
14,67642,0.835
5,67784,96
b,67926,45
c,68067,769
d,68208,0
f,68349,41
14,68490,0.155
5,68632,96
b,68771,45
c,68912,744
d,69053,0
f,69193,41
14,69331,0.50
5,69473,96
b,69614,46
c,69755,758
d,69896,0
f,70037,41
14,70179,0.55
5,70317,96
b,70458,45
c,70599,764
d,70740,0
f,70877,41
14,71018,0.70
5,71161,96
b,71302,44
c,71443,763
d,71584,0
f,71725,41
14,71866,0.95
5,72008,96
b,72150,44
c,72291,756
d,72432,0
f,72573,41
14,72714,0.640
5,72856,96
b,72995,44
c,73136,762
d,73277,1
f,73417,41
14,73555,0.85
5,73697,96
b,73838,44
c,73979,737
d,74120,0
f,74261,41
5,74544,96
b,74685,45
c,74825,756
d,74963,0
f,75104,41
14,75245,0.710
5,75385,96
b,75526,79
c,75667,1217
d,75808,0
f,75949,41
14,76090,0.905
5,76232,96
b,76374,87
c,76515,1879
d,76656,8
f,76797,41
14,76938,0.775
5,77080,96
b,77219,99
c,77360,1880
d,77501,17
f,77641,41
14,77779,0.680
5,77921,96
b,78062,96
c,78203,2699
d,78344,24
f,78485,41
14,78627,0.60
5,78765,96
b,78906,25
c,79047,2127
d,79188,25
f,79325,41
14,79466,0.850
5,79609,96
b,79750,84
c,79891,2006
d,80032,28
f,80173,41
14,80314,0.75
5,80456,96
b,80598,135
c,80739,2345
d,80880,35
f,81021,41
14,81162,0.875
5,81304,96
b,81443,154
c,81584,2926
d,81725,43
f,81865,40
14,82003,0.870
5,82145,96
b,82286,156
c,82427,3519
d,82568,52
f,82709,40
14,82851,0.895
5,82989,96
b,83130,163
c,83271,4140
d,83412,61
f,83549,40
14,83690,0.920
5,83833,96
b,83974,168
c,84115,4746
d,84256,70
f,84397,40
14,84538,0.930
5,84680,96
b,84822,169
c,84963,5326
d,85104,78
f,85245,40
14,85386,0.940
5,85528,96
b,85667,170
c,85808,5730
d,85949,83
f,86089,41
14,86227,0.10
5,86369,96
b,86510,118
c,86651,4244
d,86792,85
f,86933,41
14,87075,0.925
5,87213,95
b,87354,168
c,87495,4519
d,87636,91
f,87773,41
14,87914,0.925
5,88057,95
b,88198,170
c,88339,4813
d,88480,97
f,88621,41
14,88762,0.930
5,88904,95
b,89046,171
c,89187,5103
d,89328,103
f,89469,41
14,89610,0.935
5,89752,95
b,89891,171
c,90032,5405
d,90173,109
f,90313,42
14,90451,0.945
5,90593,95
b,90734,24
c,90875,4890
d,91016,108
f,91157,42
14,91299,0.0
5,91437,95
b,91578,18
c,91719,3688
d,91860,94
f,91997,41
14,92138,0.0
5,92281,95
b,92422,18
c,92563,3454
d,92704,84
f,92845,41
14,92986,0.0
5,93128,95
b,93270,18
c,93411,2954
d,93552,70
f,93693,40
14,93834,0.0
5,93976,94
b,94115,19
c,94256,2347
d,94397,56
f,94537,40
14,94675,0.0
5,94817,94
b,94958,23
c,95099,2001
d,95240,48
f,95381,39
14,95523,0.0
5,95661,94
b,95802,18
c,95943,1873
d,96084,45
f,96221,39
14,96362,0.0
5,96505,93
b,96646,11
c,96787,1782
d,96928,43
f,97069,39
14,97210,0.0
5,97352,93
b,97494,11
c,97635,1730
d,97776,42
f,97917,39
14,98058,0.0
5,98200,93
b,98339,24
c,98480,1721
d,98621,41
f,98761,39
14,98899,0.870
5,99041,93
b,99182,29
c,99323,1711
d,99464,41
f,99605,39
14,99747,0.70
5,99885,93
b,100026,30
c,100167,1699
d,100308,41
f,100445,39
14,100586,0.85
5,100729,93
b,100870,36
c,101011,1719
d,101152,42
f,101293,38
14,101434,0.85
5,101576,93
b,101718,49
c,101859,1748
d,102000,43
f,102141,38
14,102282,0.805
5,102424,92
b,102563,68
c,102704,1818
d,102845,44
f,102985,37
14,103123,0.765
5,103265,92
b,103406,109
c,103547,1955
d,103688,48
f,103829,36
14,103971,0.795
5,104109,92
b,104250,138
c,104391,2150
d,104532,53
f,104669,35
14,104810,0.850
5,104953,92
b,105094,150
c,105235,2385
d,105376,59
f,105517,35
14,105658,0.870
5,105800,91
b,105942,154
c,106083,2632
d,106224,65
f,106365,33
14,106506,0.860
5,106648,91
b,106787,155
c,106928,2887
d,107069,71
f,107209,32
14,107347,0.860
5,107489,91
b,107630,154
c,107771,3144
d,107912,77
f,108053,31
14,108195,0.865
5,108333,90
b,108474,108
c,108615,3313
d,108756,81
f,108893,30
14,109034,0.10
5,109177,90
b,109318,19
c,109459,2537
d,109600,81
f,109741,31
14,109882,0.915
5,110024,90
b,110166,55
c,110307,2751
d,110448,81
f,110589,31
14,110730,0.430
5,110872,90
b,111011,72
c,111152,2791
d,111293,82
f,111433,32
14,111571,0.135
5,111713,90
b,111854,70
c,111995,2836
d,112136,84
f,112277,32
14,112419,0.790
5,112557,90
b,112698,75
c,112839,2893
d,112980,86
f,113117,32
14,113258,0.840
5,113401,90
b,113542,60
c,113683,2940
d,113824,87
f,113965,31
14,114106,0.95
5,114248,90
b,114390,41
c,114531,2949
d,114672,87
f,114813,31
14,114954,0.280
5,115096,90
b,115235,38
c,115376,2958
d,115517,87
f,115657,31
14,115795,0.255
5,115937,89
b,116078,37
c,116219,2963
d,116360,88
f,116501,31
14,116643,0.775
5,116781,89
b,116922,32
c,117063,2962
d,117204,87
f,117341,31
14,117482,0.375
5,117625,89
b,117766,30
c,117907,2961
d,118048,87
f,118189,31
14,118330,0.210
5,118472,88
b,118614,24
c,118755,2949
d,118896,87
f,119037,31
14,119178,0.665
5,119320,88
b,119459,24
c,119600,2941
d,119741,87
f,119881,31
14,120019,0.350
5,120161,88
b,120302,34
c,120443,2945
d,120584,87
f,120725,30
14,120867,0.840
5,121005,88
b,121146,32
c,121287,2948
d,121428,87
f,121565,30
14,121706,0.635
5,121849,87
b,121990,30
c,122131,2955
d,122272,87
f,122413,30
14,122554,0.720
5,122696,87
b,122838,41
c,122979,2968
d,123120,88
f,123261,30
14,123402,0.830
5,123544,87
b,123683,45
c,123824,2990
d,123965,89
f,124105,30
14,124243,0.165
5,124385,87
b,124526,24
c,124667,2735
d,124808,89
f,124949,29
14,125091,0.15
5,125229,87
b,125370,100
c,125511,2492
d,125652,90
f,125789,30
14,125930,0.490
5,126073,87
b,126214,154
c,126355,2591
d,126496,94
f,126637,27
14,126778,0.860
5,126920,87
b,127062,155
c,127203,2708
d,127344,98
f,127485,27
14,127626,0.840
5,127768,87
b,127907,151
c,128048,2789
d,128189,102
f,128329,26
14,128467,0.800
5,128609,87
b,128750,60
c,128891,2843
d,129032,103
f,129173,25
14,129315,0.555
5,129453,87
b,129594,26
c,129735,2833
d,129876,103
f,130013,25
14,130154,0.40
5,130297,87
b,130438,18
c,130579,2819
d,130720,102
f,130861,27
14,131002,0.15
5,131144,87
b,131286,18
c,131427,2790
d,131568,101
f,131709,27
14,131850,0.10
5,131992,87
b,132131,18
c,132272,2767
d,132413,100
f,132553,27
14,132691,0.0
5,132833,87
b,132974,18
c,133115,2740
