c,1131225,755
e,1131366,4
11,1131507,12
b,1131645,42
c,1131786,773
e,1131927,3
11,1132068,12
b,1132209,41
c,1132350,762
e,1132491,7
11,1132632,12
b,1132773,39
c,1132914,762
e,1133056,8
11,1133196,12
b,1133337,39
c,1133478,732
e,1133619,11
11,1133760,12
b,1133902,39
c,1134043,750
e,1134184,8
11,1134325,12
b,1134466,39
c,1134607,762
e,1134748,8
11,1134889,12
b,1135026,39
c,1135167,754
e,1135308,9
11,1135449,12
b,1135590,38
c,1135731,743
e,1135869,11
11,1136010,12
b,1136151,39
c,1136292,746
e,1136433,9
11,1136574,12
b,1136715,39
c,1136856,759
e,1136997,8
11,1137138,12
b,1137280,39
c,1137420,752
e,1137561,8
11,1137702,12
b,1137843,39
c,1137984,752
e,1138126,8
11,1138267,12
b,1138408,39
c,1138549,754
e,1138690,9
11,1138831,12
b,1138972,38
c,1139113,748
e,1139250,11
11,1139391,12
b,1139532,39
c,1139673,746
e,1139814,9
11,1139955,12
b,1140093,39
c,1140234,763
e,1140375,8
11,1140516,12
b,1140657,38
c,1140798,747
e,1140939,10
11,1141080,12
b,1141221,39
c,1141362,756
e,1141504,7
11,1141644,12
b,1141785,42
c,1141926,766
e,1142067,6
11,1142208,13
b,1142350,46
c,1142491,756
e,1142632,0
11,1142773,12
b,1142914,46
c,1143055,763
e,1143196,0
11,1143337,12
b,1143474,44
c,1143615,763
e,1143756,1
11,1143897,12
b,1144038,42
c,1144179,762
e,1144317,3
11,1144458,12
b,1144599,41
c,1144740,764
e,1144881,4
11,1145022,12
b,1145163,39
c,1145304,773
e,1145445,6
11,1145586,11
b,1145728,38
c,1145868,756
e,1146009,10
11,1146150,11
b,1146291,37
c,1146432,760
e,1146574,11
11,1146715,11
b,1146856,37
c,1146997,761
e,1147138,16
11,1147279,11
b,1147420,37
c,1147561,752
e,1147698,12
11,1147839,12
b,1147980,37
c,1148121,752
e,1148262,12
11,1148403,12
b,1148541,38
c,1148682,742
e,1148823,11
11,1148964,12
b,1149105,39
c,1149246,741
e,1149387,5
11,1149528,12
b,1149669,42
c,1149810,753
e,1149952,3
11,1150092,12
b,1150233,43
c,1150374,761
e,1150515,2
11,1150656,12
b,1150798,41
c,1150939,770
e,1151080,4
11,1151221,12
b,1151362,40
c,1151503,756
e,1151644,6
11,1151785,12
b,1151922,41
c,1152063,763
e,1152204,6
11,1152345,12
b,1152486,41
c,1152627,767
e,1152765,5
11,1152906,12
b,1153047,40
c,1153188,761
e,1153329,9
11,1153470,12
b,1153611,39
c,1153752,765
e,1153893,8
11,1154034,12
b,1154176,39
c,1154316,763
e,1154457,9
11,1154598,12
b,1154739,38
c,1154880,761
e,1155022,10
11,1155163,12
b,1155304,38
c,1155445,767
e,1155586,10
11,1155727,12
b,1155868,38
c,1156009,758
e,1156146,10
11,1156287,12
b,1156428,38
c,1156569,756
e,1156710,10
11,1156851,12
b,1156989,38
c,1157130,749
e,1157271,11
11,1157412,12
b,1157553,38
c,1157694,755
e,1157835,11
11,1157976,12
b,1158117,38
c,1158258,753
e,1158400,8
11,1158540,12
b,1158681,38
c,1158822,756
e,1158963,10
11,1159104,12
b,1159246,38
c,1159387,761
e,1159528,9
11,1159669,12
b,1159810,38
c,1159951,766
e,1160092,9
11,1160233,12
b,1160370,38
c,1160511,744
e,1160652,11
11,1160793,12
b,1160934,39
c,1161075,750
e,1161213,11
11,1161354,12
b,1161495,40
c,1161636,750
e,1161777,7
11,1161918,12
b,1162059,42
c,1162200,755
e,1162341,4
11,1162482,12
b,1162624,43
c,1162764,734
e,1162905,-1
11,1163046,12
b,1163187,44
c,1163328,766
e,1163470,-2
11,1163611,12
b,1163752,46
c,1163893,770
e,1164034,-1
11,1164175,12
b,1164316,44
c,1164457,771
e,1164594,3
11,1164735,12
b,1164876,42
c,1165017,770
e,1165158,4
11,1165299,12
b,1165437,43
c,1165578,756
e,1165719,3
11,1165860,12
b,1166001,42
c,1166142,778
e,1166283,2
11,1166424,12
b,1166565,42
c,1166706,761
e,1166848,12
11,1166988,12
b,1167129,42
c,1167270,760
e,1167411,2
11,1167552,12
b,1167694,44
c,1167835,774
e,1167976,1
11,1168117,12
b,1168258,43
c,1168399,765
e,1168540,5
11,1168681,12
b,1168818,41
c,1168959,756
e,1169100,7
11,1169241,12
b,1169382,40
c,1169523,762
e,1169661,7
11,1169802,12
b,1169943,40
c,1170084,765
e,1170225,7
11,1170366,12
b,1170507,39
c,1170648,757
e,1170789,10
11,1170930,12
b,1171072,39
c,1171212,752
e,1171353,8
11,1171494,12
b,1171635,39
c,1171776,768
e,1171918,10
11,1172059,11
b,1172200,38
c,1172341,742
e,1172482,19
11,1172623,12
b,1172764,41
c,1172905,735
e,1173042,9
11,1173183,12
