b,56099,100
c,56240,0
d,56381,0
f,56521,38
14,56659,0.395
5,56801,93
b,56942,100
c,57083,0
d,57224,0
f,57365,38
14,57507,0.395
5,57645,93
b,57786,100
c,57927,0
d,58068,0
f,58205,38
14,58346,0.395
5,58489,93
b,58630,100
c,58771,0
d,58912,0
f,59053,38
14,59194,0.395
5,59336,93
b,59478,100
c,59619,0
d,59760,0
f,59901,38
14,60042,0.395
5,60184,93
b,60323,100
c,60464,0
d,60605,0
f,60745,39
14,60883,0.395
5,61025,93
b,61166,100
c,61307,0
d,61448,0
f,61589,39
14,61731,0.395
5,61869,93
b,62010,100
c,62151,0
d,62292,0
f,62429,39
14,62570,0.395
5,62713,93
b,62854,100
c,62995,0
d,63136,0
f,63277,39
14,63418,0.395
5,63560,93
b,63702,100
c,63843,0
d,63984,0
f,64125,39
14,64266,0.395
5,64408,93
b,64547,100
c,64688,0
d,64829,0
f,64969,39
14,65107,0.395
5,65249,93
b,65390,100
c,65531,0
d,65672,0
f,65813,39
14,65955,0.395
5,66093,93
b,66234,100
c,66375,0
d,66516,0
f,66653,39
14,66794,0.395
5,66937,93
b,67078,100
c,67219,0
d,67360,0
f,67501,39
14,67642,0.400
5,67784,93
b,67926,100
c,68067,0
d,68208,0
f,68349,39
14,68490,0.400
5,68632,93
b,68771,100
c,68912,0
d,69053,0
f,69193,39
14,69331,0.400
5,69473,93
b,69614,100
c,69755,0
d,69896,0
f,70037,39
14,70179,0.400
5,70317,93
b,70458,100
c,70599,0
d,70740,0
f,70877,39
14,71018,0.400
5,71161,93
b,71302,100
c,71443,0
d,71584,0
f,71725,39
14,71866,0.395
5,72008,93
b,72150,100
c,72291,0
d,72432,0
f,72573,39
14,72714,0.400
5,72856,93
b,72995,100
c,73136,179
d,73277,0
f,73417,39
14,73555,0.430
5,73697,93
b,73838,49
c,73979,1960
d,74120,0
f,74261,39
14,74403,0.435
5,74541,93
b,74682,30
c,74823,1396
d,74964,0
f,75101,39
14,75242,0.435
5,75385,93
b,75526,37
c,75667,802
d,75808,0
f,75949,39
14,76090,0.435
5,76232,93
b,76374,45
c,76515,776
d,76656,0
f,76797,39
14,76938,0.440
5,77080,92
b,77219,45
c,77360,745
d,77501,0
f,77641,39
14,77779,0.445
5,77921,91
b,78062,45
c,78203,747
d,78344,0
f,78485,39
14,78627,0.455
5,78765,91
b,78906,45
c,79047,756
d,79188,0
f,79325,39
14,79466,0.475
5,79609,90
b,79750,49
c,79891,729
d,80032,0
f,80173,39
14,80314,0.500
5,80456,90
b,80598,52
c,80739,728
d,80880,0
f,81021,39
14,81162,0.540
5,81304,89
b,81443,52
c,81584,734
d,81725,0
f,81865,39
14,82003,0.575
5,82145,88
b,82286,52
