b,562534,42
c,562675,748
14,562813,0.445
e,562954,9
b,563095,43
c,563236,752
e,563518,7
b,563659,42
c,563800,755
14,563941,0.630
e,564082,8
b,564224,42
c,564364,751
14,564505,0.615
e,564646,8
b,564787,42
c,564928,758
14,565070,0.675
e,565208,7
b,565349,42
c,565490,751
14,565632,0.95
e,565772,7
b,565913,42
c,566054,760
14,566195,0.670
e,566336,7
b,566478,42
c,566619,751
14,566760,0.755
e,566901,7
b,567042,42
c,567183,750
14,567324,0.105
e,567465,7
b,567602,42
c,567743,745
14,567884,0.160
e,568025,7
b,568166,42
c,568307,750
14,568445,0.740
e,568586,7
b,568727,42
c,568868,754
14,569009,0.155
e,569150,8
b,569291,42
c,569432,757
14,569573,0.90
e,569714,7
b,569856,42
c,569996,750
14,570137,0.780
e,570278,8
b,570419,42
c,570560,743
14,570702,0.465
e,570840,7
b,570981,43
c,571122,749
14,571264,0.75
e,571404,7
b,571545,42
c,571686,754
14,571827,0.95
e,571968,7
b,572110,42
c,572251,754
14,572392,0.130
e,572533,7
b,572674,42
c,572815,753
14,572956,0.800
e,573097,8
b,573234,42
c,573375,754
14,573516,0.670
e,573657,8
b,573798,42
c,573939,749
14,574077,0.285
e,574218,7
b,574359,42
c,574500,757
14,574641,0.735
e,574782,7
b,574923,42
c,575064,749
14,575205,0.180
e,575346,8
b,575488,42
c,575628,752
14,575769,0.190
e,575910,7
b,576051,42
c,576192,747
14,576334,0.135
e,576472,7
b,576613,42
c,576754,763
14,576896,0.795
e,577036,7
b,577177,42
c,577318,740
14,577459,0.500
e,577600,8
b,577742,42
c,577883,747
14,578024,0.85
e,578165,7
b,578306,42
c,578447,747
14,578588,0.770
e,578729,8
b,578866,43
c,579007,740
14,579148,0.535
e,579289,8
b,579430,43
c,579571,763
14,579709,0.90
e,579850,7
b,579991,42
c,580132,766
14,580273,0.730
e,580414,5
b,580555,42
c,580696,748
14,580837,0.800
e,580978,9
b,581120,42
c,581260,740
e,581542,8
b,581683,43
c,581824,753
14,581966,0.130
e,582104,8
b,582245,42
c,582386,761
14,582528,0.575
e,582668,7
b,582809,42
c,582950,754
14,583091,0.755
e,583232,7
b,583374,42
c,583515,752
14,583656,0.765
e,583797,7
b,583938,42
c,584079,746
14,584220,0.525
e,584361,7
b,584498,42
c,584639,747
14,584780,0.85
e,584921,7
b,585062,42
c,585203,751
14,585341,0.95
e,585482,5
b,585623,45
c,585764,759
14,585905,0.105
e,586046,5
