f,4405,33
11,4546,17
b,4687,100
c,4828,0
d,4969,0
f,5110,33
11,5251,17
b,5392,100
c,5533,0
d,5675,0
f,5816,33
11,5957,17
b,6098,100
c,6239,0
d,6380,0
f,6521,33
11,6662,17
b,6803,100
c,6944,0
d,7085,0
f,7226,33
11,7367,17
b,7508,100
c,7645,0
d,7786,0
f,7927,33
11,8068,17
b,8209,100
c,8350,0
d,8488,0
f,8629,33
11,8770,17
b,8911,100
c,9052,0
d,9193,0
f,9334,33
11,9475,17
b,9616,100
c,9757,0
d,9899,0
f,10040,33
11,10181,17
b,10322,100
c,10463,0
d,10604,0
f,10745,33
11,10886,17
b,11027,100
c,11168,0
d,11309,0
f,11450,33
11,11591,17
b,11732,100
c,11869,0
d,12010,0
f,12151,33
11,12292,17
b,12433,100
c,12574,0
d,12712,0
f,12853,33
11,12994,17
b,13135,100
c,13276,0
d,13417,0
f,13558,33
11,13699,17
b,13840,100
c,13981,0
d,14123,0
f,14264,33
11,14405,17
b,14546,100
c,14687,0
d,14828,0
f,14969,33
11,15110,17
b,15251,100
c,15392,0
d,15533,0
f,15674,33
11,15815,17
b,15956,100
c,16093,0
d,16234,0
f,16375,33
11,16516,17
b,16657,100
c,16798,0
d,16936,0
f,17077,33
11,17218,17
b,17359,100
c,17500,0
d,17641,0
f,17782,33
11,17923,17
b,18064,100
c,18205,0
d,18347,0
f,18488,33
11,18629,17
b,18770,100
c,18911,0
d,19052,0
f,19193,33
11,19334,17
b,19475,100
c,19616,0
d,19757,0
f,19898,33
11,20039,17
b,20180,100
c,20317,0
d,20458,0
f,20599,33
11,20740,17
b,20881,100
c,21022,0
d,21160,0
f,21301,33
11,21442,17
b,21583,100
c,21724,0
d,21865,0
f,22006,34
11,22147,17
b,22288,100
c,22429,0
d,22571,0
f,22712,34
11,22853,17
b,22994,100
c,23135,0
d,23276,0
f,23417,34
11,23558,17
b,23699,100
c,23840,0
d,23981,0
f,24122,34
11,24263,17
b,24404,100
c,24541,0
d,24682,0
f,24823,34
11,24964,17
b,25105,100
c,25246,0
d,25384,0
f,25525,34
11,25666,17
b,25807,100
c,25948,0
d,26089,0
f,26230,34
11,26371,17
b,26512,100
c,26653,0
d,26795,0
f,26936,34
11,27077,17
b,27218,100
c,27359,0
d,27500,0
f,27641,34
11,27782,17
b,27923,100
c,28064,0
d,28205,0
f,28346,34
11,28487,17
b,28628,100
c,28765,0
d,28906,0
f,29047,34
11,29188,17
b,29329,100
c,29470,0
d,29608,0
f,29749,34
11,29890,17
b,30031,100
c,30172,0
d,30313,0
f,30454,34
11,30595,17
b,30736,100
c,30877,0
d,31019,0
f,31160,34
11,31301,17
b,31442,100
c,31583,0
d,31724,0
f,31865,34
11,32006,17
b,32147,100
c,32288,0
d,32429,0
f,32570,34
11,32711,17
b,32852,100
c,32989,0
d,33130,0
f,33271,34
11,33412,17
b,33553,100
c,33694,0
d,33832,0
f,33973,34
11,34114,17
b,34255,100
c,34396,0
d,34537,0
f,34678,34
11,34819,17
b,34960,100
c,35101,0
d,35243,0
f,35384,34
11,35525,17
b,35666,100
c,35807,0
d,35948,0
f,36089,34
11,36230,17
b,36371,100
c,36512,0
d,36653,0
f,36794,34
11,36935,17
b,37076,100
c,37213,0
d,37354,0
f,37495,34
11,37636,17
b,37777,100
c,37918,0
d,38056,0
f,38197,35
11,38338,17
b,38479,100
c,38620,0
d,38761,0
f,38902,35
11,39043,17
b,39184,100
c,39325,0
d,39467,0
f,39608,35
11,39749,17
b,39890,100
c,40031,0
d,40172,0
f,40313,35
11,40454,17
b,40595,100
c,40736,0
d,40877,0
f,41018,35
11,41159,17
b,41300,100
c,41437,0
d,41578,0
f,41719,35
11,41860,17
b,42001,100
c,42142,0
d,42280,0
f,42421,35
11,42562,17
b,42703,100
c,42844,0
d,42985,0
f,43126,35
11,43267,17
b,43408,100
c,43549,0
d,43691,0
f,43832,35
11,43973,17
b,44114,100
c,44255,0
d,44396,0
f,44537,35
11,44678,17
b,44819,100
c,44960,0
d,45101,0
f,45242,35
11,45383,17
b,45524,100
c,45661,0
d,45802,0
f,45943,35
11,46084,17
b,46225,100
c,46366,0
d,46504,0
f,46645,35
11,46786,17
b,46927,100
c,47068,0
d,47209,0
f,47350,35
11,47491,17
b,47632,100
c,47773,0
d,47915,0
f,48056,35
11,48197,17
b,48338,100
c,48479,0
d,48620,0
f,48761,35
11,48902,17
b,49043,100
c,49184,0
d,49325,0
f,49466,35
11,49607,17
b,49748,100
c,49885,0
d,50026,0
f,50167,35
11,50308,17
b,50449,100
c,50590,0
d,50728,0
f,50869,35
11,51010,17
b,51151,100
c,51292,0
d,51433,0
f,51574,35
11,51715,17
b,51856,100
c,51997,0
d,52139,0
f,52280,35
11,52421,17
b,52562,100
c,52703,0
d,52844,0
f,52985,35
11,53126,17
b,53267,100
c,53408,0
d,53549,0
f,53690,35
11,53831,17
b,53972,100
c,54109,0
d,54250,0
f,54391,35
11,54532,17
b,54673,100
c,54814,0
d,54952,0
f,55093,36
11,55234,17
b,55375,100
c,55516,0
d,55657,0
f,55798,36
11,55939,17
b,56080,100
c,56221,0
d,56363,0
f,56504,36
11,56645,17
b,56786,100
c,56927,0
d,57068,0
