Intk Air Temp;TPS;Calc Load;ECT;Intk Mani Press;RPM;Speed
22.0;88.0;100.0;0;160.0;2975.0;85.0
23.0;88.0;100.0;0;160.0;3078.0;88.0
23.0;88.0;100.0;0;159.0;3182.0;91.0
24.0;88.0;100.0;0;159.0;3281.0;94.0
24.0;88.0;100.0;0;161.0;3383.0;97.0
24.0;88.0;100.0;0;162.0;3483.0;100.0
24.0;88.0;100.0;0;163.0;3585.0;103.0
25.0;88.0;100.0;0;165.0;3691.0;106.0
25.0;88.0;100.0;0;166.0;3789.0;109.0
26.0;88.0;100.0;0;167.0;3892.0;112.0
27.0;88.0;100.0;0;168.0;3987.0;115.0
27.0;88.0;100.0;0;169.0;4084.0;118.0
27.0;88.0;100.0;0;170.0;4170.0;121.0
27.0;88.0;100.0;0;171.0;4257.0;123.0
28.0;88.0;100.0;0;171.0;4349.0;126.0
29.0;88.0;100.0;0;172.0;4428.0;129.0
30.0;88.0;100.0;0;172.0;4504.0;131.0
30.0;88.0;100.0;0;173.0;4596.0;134.0
30.0;88.0;100.0;0;174.0;4673.0;136.0
30.0;88.0;100.0;0;174.0;4750.0;139.0
31.0;88.0;100.0;0;175.0;4834.0;141.0
32.0;88.0;100.0;0;175.0;4907.0;143.0
33.0;88.0;100.0;0;176.0;4975.0;145.0
33.0;88.0;100.0;0;176.0;5046.0;147.0
33.0;88.0;100.0;0;176.0;5106.0;150.0
34.0;88.0;100.0;0;177.0;5169.0;151.0
35.0;88.0;100.0;0;177.0;5227.0;153.0
35.0;88.0;100.0;0;177.0;5291.0;155.0
36.0;88.0;100.0;0;177.0;5343.0;157.0
36.0;88.0;100.0;0;177.0;5397.0;158.0
36.0;88.0;100.0;0;177.0;5455.0;160.0
36.0;88.0;100.0;0;177.0;5498.0;161.0
36.0;88.0;100.0;0;177.0;5326.0;163.0
37.0;17.0;18.0;0;22.0;5008.0;157.0
36.0;16.0;10.0;0;18.0;4665.0;147.0
35.0;16.0;10.0;0;17.0;4354.0;137.0
33.0;15.0;10.0;0;17.0;4030.0;127.0
33.0;15.0;10.0;0;17.0;3742.0;118.0
32.0;14.0;9.0;0;17.0;3518.0;111.0
31.0;14.0;10.0;0;17.0;3300.0;103.0
30.0;14.0;10.0;0;17.0;3129.0;97.0
29.0;14.0;9.0;0;17.0;2960.0;92.0
27.0;13.0;9.0;0;17.0;2797.0;87.0
27.0;13.0;9.0;0;18.0;2617.0;82.0
27.0;13.0;9.0;0;18.0;2474.0;77.0
27.0;13.0;10.0;0;19.0;2310.0;72.0
26.0;13.0;11.0;0;20.0;2133.0;67.0
26.0;13.0;13.0;0;22.0;1981.0;62.0
25.0;13.0;14.0;0;23.0;1842.0;58.0
25.0;12.0;13.0;0;16.0;1682.0;54.0
25.0;10.0;3.0;0;13.0;943.0;49.0
24.0;13.0;16.0;0;28.0;1136.0;43.0
25.0;13.0;30.0;0;41.0;1260.0;35.0
25.0;13.0;23.0;0;31.0;1053.0;27.0
24.0;13.0;24.0;0;38.0;1420.0;21.0
24.0;13.0;23.0;0;31.0;1369.0;20.0
24.0;13.0;21.0;0;29.0;1548.0;19.0
24.0;26.0;79.0;0;95.0;1811.0;23.0
24.0;22.0;76.0;0;81.0;2103.0;27.0
24.0;27.0;89.0;0;105.0;2571.0;31.0
24.0;36.0;100.0;0;132.0;2723.0;37.0
24.0;25.0;76.0;0;53.0;2562.0;40.0
23.0;13.0;11.0;0;19.0;2124.0;36.0
23.0;13.0;11.0;0;21.0;1717.0;30.0
23.0;10.0;12.0;0;18.0;1580.0;24.0
23.0;13.0;16.0;0;26.0;1677.0;22.0
23.0;23.0;70.0;0;83.0;1860.0;24.0
24.0;23.0;78.0;0;86.0;2034.0;27.0
23.0;24.0;76.0;0;79.0;2039.0;30.0
23.0;16.0;45.0;0;40.0;1781.0;29.0
23.0;13.0;16.0;0;24.0;1009.0;26.0
23.0;13.0;18.0;0;28.0;760.0;19.0
23.0;13.0;27.0;0;40.0;751.0;11.0
23.0;12.0;33.0;0;44.0;768.0;5.0
23.0;12.0;35.0;0;45.0;765.0;2.0
23.0;12.0;33.0;0;43.0;748.0;0.0
23.0;12.0;32.0;0;42.0;745.0;0.0
23.0;12.0;32.0;0;42.0;747.0;0.0
23.0;12.0;32.0;0;43.0;746.0;0.0
23.0;12.0;32.0;0;43.0;742.0;0.0
23.0;12.0;32.0;0;43.0;747.0;0.0
23.0;12.0;32.0;0;43.0;742.0;0.0
23.0;12.0;32.0;0;43.0;735.0;0.0
23.0;12.0;32.0;0;43.0;745.0;0.0
23.0;12.0;32.0;0;43.0;737.0;0.0
23.0;12.0;32.0;0;43.0;739.0;0.0
23.0;12.0;33.0;0;44.0;745.0;0.0
23.0;12.0;33.0;0;45.0;743.0;0.0
23.0;12.0;33.0;0;44.0;744.0;0.0
23.0;12.0;33.0;0;44.0;739.0;0.0
23.0;12.0;35.0;0;45.0;735.0;0.0
23.0;12.0;33.0;0;45.0;741.0;0.0
23.0;12.0;33.0;0;44.0;736.0;0.0
23.0;12.0;33.0;0;44.0;734.0;0.0
23.0;12.0;33.0;0;44.0;736.0;0.0
23.0;12.0;33.0;0;44.0;742.0;0.0
23.0;12.0;33.0;0;44.0;735.0;0.0
23.0;12.0;33.0;0;44.0;735.0;0.0
23.0;12.0;33.0;0;44.0;739.0;0.0
24.0;12.0;33.0;0;44.0;742.0;0.0
24.0;12.0;33.0;0;44.0;738.0;0.0
